food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,complete_meal,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,Health_Label_Diabetes,Health_Label_Obesity,Health_Label_HighBP,Health_Label_LowBP,complete_meal,Type
ASC001,Hot tea (Garam Chai),asc_manual,68.16152191,16.14429855,2.581947565,0.3878859878,0.532066524,2.576009512,0,321.4964294,144.1805267,16.38954926,0,14.20427513,11.50118732,1.035629392,3.118764639,13.94536781,0.02161520347,0.005914489273,0.1128266007,0.0004750594089,0.002256531967,0,0.04109263793,0,0.02612826601,0,0,0.001923990552,0,0.8562945724,0.003562945174,0.0132066505,0.009501187131,0.04066508263,0.004750593565,0.2422802895,0.8562945724,0.2387173325,23.75296974,1,0,1,1,0,1
ASC002,Instant coffee,asc_manual,97.76667023,23.15583229,3.653333426,0.6406666636,0.7466666698,3.61500001,0,451.1666565,202.3333282,23,0,20.86666679,18.18666649,3.633333206,4.916666508,44.5,0.06099999696,0.01233333349,0.2183333337,0.0006666666595,0.01566666737,0,0.06499999762,0,0.03666666895,0,0,0.02866666578,0,1.245000005,0.005266666878,0.01973333396,0.1786666662,0.05666666478,0.006799999624,0.7766666412,1.245000005,0.3350000083,33.33333206,1,0,1,1,0,1
ASC003,Espreso coffee,asc_manual,216.9968414,51.54337311,6.620504856,1.747003078,2.138170242,6.533753872,0,1291.671875,580.1577148,66.21450806,0,58.10409927,50.24921036,8.574132919,13.97791767,103.8643494,0.1476340741,0.03820189461,0.5630914569,0.001892744447,0.03438485786,0,0.1914826483,0,0.1053943262,0,0,0.05425867811,0,3.487381697,0.01476340741,0.05488959327,0.3526813686,0.1618296504,0.0192113556,1.81072557,3.487381697,0.9511041045,94.63722229,1,0,1,1,0,1
ASC004,Iced tea,asc_manual,44.09062195,10.34218788,2.701562405,0.0279687494,0.01093749981,2.701562405,0,5.46875,0,5.46875,0,1.1796875,0.5843750238,0.3906249702,0.234375,5.215624809,0.02140625007,0.003062500153,0.0546875,0,0.0009375000373,0,0.007968749851,0,0,0,0,0.001687500044,0,0.4015625119,0.001640624949,0.0006718750228,0.005468749907,0.006812499836,0.002734374953,0.006249999627,0.4015625119,1.859375,0.21875,1,0,1,1,0,1
ASC005,Raw mango drink (Aam panna),asc_manual,152.3947906,35.91822052,9.047467232,0.1570344567,0.02634078264,7.490847111,0.6120251417,6.138268471,5.888193607,9.430632591,0,7.077746868,3.335195541,4.248603344,79.82497406,31.45298004,0.1354608983,0.0258193668,0.04770018533,0.002187150763,0.05222998187,0.01061452553,0.02901769057,0,0.1724581122,1.46030724,0,3.443668604,0,5.233556747,0.004068901297,0.00453445036,0.05290502682,0.02571694553,0.02514897473,0.2729841769,5.233556747,16.87210464,167.1862183,1,0,1,1,0,1
ASC006,Fruit Punch (with fresh juices),asc_manual,153.8872833,36.11684418,9.380591393,0.1393489391,0.03250204399,9.245637894,0.06005493179,6.206655979,1.301735163,10.08202648,0,5.068009377,10.24249744,3.196671247,2.632138252,33.43281174,0.1019785628,0.009800950065,0.03054185398,0.0002627058711,0.1260437071,0.002847511088,0.02256606705,0,0.0464970991,0.04913334548,0,0.5612720251,0,4.51407671,0.01670855284,0.0043049776,0.04073502496,0.04331928119,0.01412135921,0.1524061561,4.51407671,7.612774849,45.53494644,1,0,1,1,0,1
ASC007,Fruit Punch (with squashes),asc_manual,98.22452545,23.12828255,5.989855766,0.07234480977,0.01683852635,5.883439064,0.1682261527,5.230045795,1.631409883,7.073691845,0,3.300873995,9.265067101,1.884335756,2.257480145,16.64989471,0.06147245318,0.007000308018,0.03544900566,0.0004932035808,0.08185587823,0.002187596401,0.01189952996,0,0.02796145901,0.05363588408,0,0.6523412466,0,1.815893769,0.004663656931,0.002422961872,0.0179452505,0.01646703295,0.008435669355,0.07817673683,1.815893769,2.999492884,55.68623734,1,0,1,1,0,1
ASC008,Lemonade,asc_manual,88.6614151,20.79898262,5.478568077,0.03481746837,0.01045096666,5.471953869,0.01686470956,4.652827263,0.03788117692,5.302791595,0,1.839656353,0.6685755253,0.7301360369,28.52360725,5.730135918,0.04791696742,0.007301360369,0.07384395599,0.0001803865453,0.003035075031,0.00286327838,0.01166785974,0,0.001317108166,0.009649248794,0,0.4695776701,0,0.6041517258,0.001345740864,0.0009735146887,0.006413743831,0.006127415691,0.0026342161,0.006327845156,0.6041517258,1.509405851,53.69505692,1,0,1,1,0,1
ASC009,Lem-o-gin,asc_manual,91.63279724,21.5173645,5.551969051,0.08075683564,0.02810090967,5.384456635,0.1291941106,9.411353111,1.466026664,13.20112133,0,2.197897673,1.587105751,1.863910317,28.13481522,14.16608238,0.08685354143,0.009880868718,0.07229152322,0.0004498948692,0.08391030133,0.003083391814,0.0196215827,0,0.008016818203,0.09543097764,0,0.9968464971,0,0.8189207911,0.00215837406,0.001793973381,0.01510861982,0.01104414836,0.006783461664,0.02868955955,0.8189207911,1.591828942,59.48283005,1,0,1,1,0,1
ASC010,Cumin infused water (Jeere/Zeere ka pani),asc_manual,38.22722244,9.089806557,1.864382148,0.1695167869,0.1104905903,1.4616009,0.4635337591,14.50107002,40.03645706,33.52784729,0,10.84382153,4.472076893,5.280117989,189.5951233,32.15123749,0.315020293,0.01748432405,0.1294503808,0.001917373622,0.2334120274,0.01696790941,0.04273699597,0,0.01349317655,0.5718849301,0,1.768720031,0,0.9267207384,0.009664330631,0.003297676099,0.04900774732,0.01094799023,0.006595352199,0.03479896858,0.9267207384,1.0662781,64.09368896,1,0,1,1,0,1
